	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event
120	0	2	11	error	'146'	0	0	0	2015-11-02 21:13:06	146	661289955189223429	278661732421818126337	1	0	1	0	0	0	0	0	0	0	0	1	0
121	0	2	11	error	'146'	0	0	0	2015-11-02 20:58:47	146	661286355511717888	332661604623111753728	1	1	0	0	0	0	0	0	0	0	1	0	0
122	0	2	11	rush_evening	'135'	0	0	1	2015-11-02 18:10:44	135	661244063576788992	146661289955189223429	1	0	1	0	0	0	0	0	0	0	0	0	0
123	0	2	11	rush_evening	'135'	0	0	1	2015-11-02 17:55:35	135	661240249868161028	146661286355511717888	1	0	0	0	0	0	0	0	1	0	0	0	0
124	0	2	11	rush_evening	'135'	0	0	1	2015-11-02 17:42:40	135	661236997864845312	135661244063576788992	1	0	0	1	0	0	0	0	0	0	0	0	0
125	4	30	10	error	'152'	0	0	0	2015-10-30 22:39:40	152	660224578250108928	135661240249868161028	0	0	0	0	0	0	0	0	0	0	0	0	0
126	2	28	10	error	'267'	0	1	1	2015-10-28 00:26:53	267	659164398548684801	135661236997864845312	1	0	1	0	0	0	0	0	0	0	1	0	0
127	1	27	10	error	'254'	0	1	0	2015-10-27 22:54:43	254	659141201694605312	152660224578250108928	1	1	0	0	0	0	0	0	0	0	0	0	0
128	1	27	10	error	'155'	0	0	1	2015-10-27 22:22:56	155	659133205547630592	267659164398548684801	1	1	0	0	0	0	0	0	0	0	0	0	0
129	1	27	10	rush_evening	'233', '155'	0	1	1	2015-10-27 16:51:24	233	659049770313494528	254659141201694605312	1	0	1	0	0	0	0	0	0	0	0	0	0
130	1	27	10	rush_evening	'233', '155'	0	0	1	2015-10-27 16:51:24	155	659049770313494528	155659133205547630592	1	0	1	0	0	0	0	0	0	0	0	0	0
131	4	23	10	error	'151'	0	0	1	2015-10-23 21:28:36	151	657669978729095168	233659049770313494528	0	0	0	0	0	0	0	0	0	0	0	0	0
132	4	23	10	error	'385'	1	0	1	2015-10-23 02:09:44	385	657378338906832896	155659049770313494528	0	0	0	0	0	0	0	0	0	0	0	0	0
133	4	23	10	error	'284'	0	1	0	2015-10-23 02:04:16	284	657376963661799424	151657669978729095168	1	1	0	0	0	0	0	0	0	0	0	0	0
134	4	23	10	error	'284'	0	1	0	2015-10-23 01:42:15	284	657371422122074112	385657378338906832896	1	1	0	0	0	0	0	0	0	0	0	0	0
135	3	22	10	error	'254'	0	1	0	2015-10-22 23:01:00	254	657330843380260866	284657376963661799424	1	1	0	0	0	0	0	0	0	0	0	0	0
136	3	22	10	error	'152'	0	0	0	2015-10-22 22:40:14	152	657325618820960261	284657371422122074112	1	0	0	0	0	0	0	1	0	0	0	0	0
137	1	20	10	rush_evening	'143'	0	0	1	2015-10-20 19:01:56	143	656545904783060992	254657330843380260866	1	0	1	0	0	0	0	0	0	0	0	0	0
138	4	16	10	error	'156'	0	0	0	2015-10-16 23:51:49	156	655169307115057152	152657325618820960261	1	0	1	0	0	0	0	0	0	0	0	0	0
139	4	16	10	error	'150'	0	0	0	2015-10-16 21:43:50	150	655137099138527232	143656545904783060992	1	0	1	0	0	0	0	0	0	0	0	0	0
140	4	16	10	error	'151'	0	0	1	2015-10-16 21:16:39	151	655130257775722496	156655169307115057152	1	0	1	0	0	0	0	0	0	0	0	0	0
141	3	15	10	error	'267'	0	1	1	2015-10-15 23:48:39	267	654806122470047744	150655137099138527232	1	1	0	0	0	0	0	0	0	0	0	0	0
142	3	15	10	error	'365'	1	0	1	2015-10-15 23:42:08	365	654804479577993216	151655130257775722496	1	0	1	0	0	0	0	0	0	0	0	1	0
143	3	15	10	error	'254'	0	1	0	2015-10-15 22:07:11	254	654780583520813056	267654806122470047744	1	0	1	0	0	0	0	0	0	0	1	0	0
144	3	15	10	error	'151'	0	0	1	2015-10-15 21:51:28	151	654776629449723905	365654804479577993216	1	0	1	0	0	0	0	0	0	0	0	0	0
145	3	15	10	error	'381', '380', '282'	1	0	1	2015-10-15 01:52:31	381	654474906319482880	254654780583520813056	1	0	1	0	0	0	0	0	0	0	0	0	0
146	3	15	10	error	'381', '380', '282'	1	0	0	2015-10-15 01:52:31	380	654474906319482880	151654776629449723905	1	0	1	0	0	0	0	0	0	0	0	0	0
147	3	15	10	error	'381', '380', '282'	0	1	0	2015-10-15 01:52:31	282	654474906319482880	381654474906319482880	1	0	0	0	0	0	0	1	0	0	0	0	0
148	3	15	10	error	'277'	0	1	1	2015-10-15 01:28:30	277	654468861345968128	380654474906319482880	1	0	0	0	0	0	0	1	0	0	0	0	0
149	3	15	10	error	'273'	0	1	1	2015-10-15 01:18:39	273	654466381241454592	282654474906319482880	1	0	0	0	0	0	0	1	0	0	0	0	0
150	2	14	10	error	'257'	0	1	1	2015-10-14 22:34:53	257	654425167519612928	277654468861345968128	1	0	0	0	0	0	0	1	0	0	0	0	0
151	2	14	10	error	'151', ''	0	0	1	2015-10-14 21:28:51	151	654408552912547840	273654466381241454592	1	0	1	0	0	0	0	0	0	0	1	0	0
152	2	14	10	error	'274'	0	1	0	2015-10-14 02:14:26	274	654118034093662210	257654425167519612928	1	1	0	0	0	0	0	0	0	0	0	1	0
153	2	14	10	error	'274'	0	1	0	2015-10-14 01:48:33	274	654111516560527360	151654408552912547840	1	1	0	0	0	0	0	0	0	0	0	0	0
154	2	14	10	error	'278', '380'	0	1	0	2015-10-14 01:17:28	278	654103695093686276	274654118034093662210	1	0	0	0	0	0	0	0	0	0	0	0	0
155	2	14	10	error	'278', '380'	1	0	0	2015-10-14 01:17:28	380	654103695093686276	274654111516560527360	1	0	0	0	0	0	0	0	0	0	0	0	0
156	2	14	10	error	'385', '287'	1	0	1	2015-10-14 00:54:45	385	654097977678557184	278654103695093686276	1	0	0	0	1	0	0	0	0	0	0	0	0
157	2	14	10	error	'385', '287'	0	1	1	2015-10-14 00:54:45	287	654097977678557184	262654103695093686276	1	0	0	0	1	0	0	0	0	0	0	0	0
158	2	14	10	error	'274'	0	1	0	2015-10-14 00:22:21	274	654089827072081920	366654103695093686276	1	0	0	0	1	0	0	0	0	0	0	0	0
159	1	13	10	error	'268'	0	1	0	2015-10-13 23:57:14	268	654083503429017600	264654103695093686276	1	0	0	0	1	0	0	0	0	0	0	0	0
160	1	13	10	error	'261'	0	1	1	2015-10-13 23:43:53	261	654080145825796097	380654103695093686276	1	0	0	0	1	0	0	0	0	0	0	0	0
161	1	13	10	error	'254', ''	0	1	0	2015-10-13 22:04:40	254	654055177708695553	385654097977678557184	0	0	0	0	0	0	1	0	0	0	0	0	0
162	1	13	10	rush_evening	'134'	0	0	0	2015-10-13 17:41:24	134	653988922138095616	287654097977678557184	0	0	0	0	0	0	1	0	0	0	0	0	0
163	0	12	10	rush_evening	'324'	1	0	0	2015-10-12 16:26:47	324	653607755639451648	274654089827072081920	0	0	0	0	0	0	0	0	0	0	0	0	0
164	0	12	10	rush_evening	'324', '226'	1	0	0	2015-10-12 16:10:11	324	653603579136118784	268654083503429017600	1	0	0	0	0	0	1	0	0	0	0	0	0
165	0	12	10	rush_evening	'324', '226'	0	1	0	2015-10-12 16:10:11	226	653603579136118784	261654080145825796097	1	0	0	0	0	0	0	0	1	0	0	0	0
166	0	12	10	workday	'324'	1	0	0	2015-10-12 15:59:24	324	653600865522094082	254654055177708695553	1	1	0	0	0	0	0	0	0	0	0	0	0
167	0	12	10	workday	'324'	1	0	0	2015-10-12 15:55:28	324	653599875326603264	134653988922138095616	1	0	1	0	0	0	0	0	0	0	0	0	0
168	5	10	10	rush_evening	'423'	0	0	1	2015-10-10 16:37:18	423	652885627390656512	324653607755639451648	1	0	0	0	0	0	1	0	0	0	0	0	0
169	5	10	10	rush_evening	'423'	0	0	1	2015-10-10 16:06:44	423	652877934517063680	324653603579136118784	0	0	0	0	0	0	0	0	0	0	0	0	0
170	5	10	10	workday	'423', '425'	0	0	1	2015-10-10 15:46:07	423	652872745819111424	226653603579136118784	0	0	0	0	0	0	0	0	0	0	0	0	0
